3984, Emily Johnson, 140, 7, 980.0, 25, 245.0, 735.0  
6842, Takeshi Tanaka, 145, 8, 1160.0, 22, 255.2, 904.8  
5129, Maria Santos, 160, 9, 1440.0, 30, 432.0, 1008.0  
7385, William Brown, 150, 11, 1650.0, 26, 429.0, 1221.0  
4567, Aiko Nakamura, 134, 7, 938.0, 20, 187.6, 750.4  
8193, Juan Dela Cruz, 140, 8, 1120.0, 24, 268.8, 851.2  
9015, Sophie Carter, 148, 9, 1332.0, 28, 372.9, 959.1  
2746, Koji Yamamoto, 135, 7, 945.0, 23, 217.4, 727.6  
1034, Grace Reyes, 144, 10, 1440.0, 29, 417.6, 1022.4  
3179, James Wilson, 150, 11, 1650.0, 25, 412.5, 1237.5  
5672, Yumi Sato, 138, 6, 828.0, 21, 173.9, 654.1  
8234, Haruto Suzuki, 130, 7, 910.0, 22, 200.2, 709.8  
2945, Charlotte Taylor, 150, 8, 1200.0, 27, 324.0, 876.0  
7023, Liza Manalo, 142, 9, 1278.0, 30, 383.4, 894.6  
6458, Emily Johnson, 154, 10, 1540.0, 26, 400.4, 1139.6  
7893, Takeshi Tanaka, 133, 8, 1064.0, 24, 255.4, 808.6  
4582, Maria Santos, 149, 11, 1639.0, 29, 475.3, 1163.7  
3921, William Brown, 147, 9, 1323.0, 28, 370.4, 952.6  
5067, Aiko Nakamura, 144, 7, 1008.0, 22, 221.8, 786.2  
5821, Anna Lim, 150, 8, 1200.0, 26, 312.0, 888.0  
3205, Tomoko Suzuki, 138, 7, 966.0, 29, 280.2, 685.8  
4210, John Smith, 10, 155, 1550.0, 22, 310.0, 1240.0  
5301, Rei Tanaka, 135, 9, 1215.0, 24, 291.6, 923.4  
6704, Carlos Perez, 12, 160, 1920.0, 30, 576.0, 1344.0  
2781, Megumi Okada, 142, 8, 1136.0, 28, 320.1, 815.9  
8025, David Lee, 9, 150, 1350.0, 27, 364.5, 985.5  
6741, Hana Kim, 7, 130, 910.0, 25, 227.5, 682.5  
5892, Christopher Evans, 11, 140, 1540.0, 23, 359.2, 1180.8  
4049, Keiko Fujimoto, 8, 145, 1160.0, 30, 348.0, 812.0  
5123, Mark Vincent Lanada, 250, 8, 2000.0, 21, 420.0, 1580.0
